plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
55672,False,47.91983388058832,157.08825008745632,0.1269765625,0.0071734375,0.5912546875,AL Sandersville LLC,GA
55222,True,165.7032703305822,,,,,Lincoln Generating Facility,IL
55110,True,73.86601476528824,,,,,Madison,OH
55236,True,168.71706794951697,,,,,Lee Energy Facility,IL
58557,False,109.94888311014569,109.94888311014569,0.0684234375,0.417740625,0.0,Mesquite Generating Station Block 1,AZ
55481,False,110.09100731470515,110.09100731470515,0.0682359375,0.4169953125,0.0,Mesquite Generating Station Block 2,AZ
408,False,4.18241302219519,4.231061894171538,0.4234734375,0.2039203125,0.0066421875,Valley (CA),CA
7296,False,91.69304640907835,148.42631843206752,0.1047734375,0.000840625,0.33676875,State Line Combined Cycle,MO
55328,False,177.42313108162716,177.48498464742565,0.0426609375,0.028496875,0.0003390625,Hermiston Power Partnership,OR
55687,False,1.1703528629738618,1.1703528629738618,0.2883453125,0.988653125,4.0625e-05,Higgins Generating Station,NV
55821,False,27.681903138427487,45.26951283370541,0.0044671875,0.084315625,0.09455,Curtis H Stanton Energy Center,FL
55347,True,27.411206915073375,,,,,Armstrong,PA
55182,False,40.455359459703075,40.455359459703075,0.4780328125,0.5451390625,5.46875e-05,Sunrise Power LLC,CA
55835,False,196.47194439590896,196.5595123654664,0.0014671875,0.02114375,0.000409375,Rocky Mountain Energy Center,CO
55496,False,193.110654834286,198.89848063170066,0.0036328125,0.0148890625,0.033390625,Goose Creek Energy Center,IL
56458,False,211.7529025756226,211.7529025756226,9.375e-05,0.0002828125,0.0,Hobbs Generating Station,NM
55340,False,168.5332447118349,168.53984705874598,0.0028546875,0.124403125,4.375e-05,Dell Power Station,AR
55217,False,33.33733450567796,33.433242281859904,0.2981328125,0.128659375,0.029875,Los Medanos Energy Center,CA
55350,True,50.572239879127366,,,,,Dresden Energy Facility,OH
62115,False,6.110993304114706,6.130105360962558,0.0076734375,0.0199890625,0.000121875,AES Alamitos Energy Center,CA
55357,False,105.25565693219883,116.56512969892904,0.0143359375,0.036146875,0.056465625,Jack Fusco Energy Center,TX
55641,False,146.33302696931378,160.3463345421009,0.0201765625,0.0197359375,0.0706296875,Riverside Energy Center,WI
2847,True,37.79913104979446,,,,,Tait Electric Generating Station,OH
55386,False,43.74402320530421,89.94133952598712,0.05441875,0.0140515625,0.2276140625,Columbia Energy Center (SC),SC
62565,True,30.320756951201684,,,,,"Hill Top Energy Center, LLC",PA
3403,False,80.58859388853419,123.72207375053523,0.1227265625,0.0386609375,0.2811296875,Gallatin (TN),TN
59002,False,4.776624244192014,4.784269066931154,0.206396875,0.0326578125,0.0006765625,Carlsbad Energy Center,CA
3295,False,41.012041551889574,78.4737579253338,0.096753125,0.0174296875,0.2152609375,Urquhart,SC
55178,False,143.07459502272653,173.2282083494952,0.0290578125,0.0236328125,0.1628984375,Dogwood Energy Facility,MO
55124,False,85.85274932831774,85.85274932831774,0.2285734375,0.5440515625,0.0085359375,Griffith Energy LLC,AZ
56467,False,4.395773075005746,4.894076520820626,0.176715625,0.0875828125,0.071225,Russell City Energy Center,CA
56350,False,166.55810050959516,185.93112380640508,0.0069234375,0.03155,0.1002703125,Colorado Bend Energy Center,TX
533,False,53.705227234404184,150.4796483214121,0.142146875,0.0174578125,0.5554734375,McWilliams,AL
56259,False,29.525347894388393,72.34816995962618,0.2126328125,0.019746875,0.3355125,Empire Generating Co LLC,NY
55667,True,63.567743551780715,,,,,Lower Mount Bethel Energy,PA
57664,False,0.7637872900286663,3.0798210880455272,0.05169375,0.0202109375,0.0172265625,Astoria Energy II,NY
55343,False,167.47721669800546,167.47721669800546,0.02319375,0.1435484375,0.0,Luna Energy Facility,NM
1403,False,3.0801685799882157,3.457544829747602,0.001265625,0.03203125,0.0017046875,Nine Mile Point,LA
55270,False,57.371614721707395,90.86740555325117,0.024,0.0132359375,0.164190625,Jackson Generating Station,MI
55412,False,39.62033632142332,43.80344432750389,0.00340625,0.0999875,0.027115625,Osprey Energy Center Power Plant,FL
56964,False,2.2298557962301873,4.219247168120139,0.0375921875,0.03858125,0.0185859375,Bayonne Energy Center,NJ
1912,False,6.363619946449029,12.175075195966507,0.0849375,0.0208,0.0512328125,High Bridge,MN
991,False,83.73026854237821,138.09990037120224,0.246921875,0.0318671875,0.48164375,Eagle Valley (IN),IN
